t,y
0.0,-9.226045417
0.03333333333,-9.288100033000001
0.06666666667,-9.19699685
0.1,-9.200162836
0.1333333333,-9.28651704
0.1666666667,-9.319523089
0.2,-9.256676977
0.2333333333,-9.315565607
0.2666666667,-9.198579843000001
0.3,-7.202461587
0.3333333333,-3.770062809
0.3666666667,-1.618412265
0.4,0.1759490166
0.4333333333,1.876041129
0.4666666667,3.011546528
0.5,3.7575481109999997
0.5333333333,4.144677438
0.5666666667,4.381023454999999
0.6,4.232614635
0.6333333333,3.698659481
0.6666666667,3.0398035979999998
0.7,1.993818389
0.7333333333,1.09861649
0.7666666667,0.1735745272
0.8,-1.0231939909999999
0.8333333333,-1.8869728340000003
0.8666666667,-2.3958369040000003
0.9,-2.69344604
0.9333333333,-2.662814481
0.9666666667,-2.0377561440000003
1.0,-1.469211948
1.033333333,-0.8771596604999999
1.066666667,-0.008631838528
1.1,0.7344884233
1.133333333,1.253704501
1.166666667,1.562292719
1.2,1.761909968
1.233333333,1.782346961
1.266666667,1.6720558019999998
1.3,1.422930298
1.333333333,1.024751953
1.366666667,0.5461458243
1.4,0.038996511160000004
1.433333333,-0.4212849299
1.466666667,-0.7890718223000001
1.5,-1.078543237
1.533333333,-1.196676549
1.566666667,-1.1977327020000001
1.6,-1.0772230459999999
1.633333333,-0.8584889944
1.666666667,-0.6486532486
1.7,-0.3212122671
1.733333333,-0.01236001158
1.766666667,0.26689290639999996
1.8,0.5655266649999999
1.833333333,0.6653352895
1.866666667,0.7659360288
1.9,0.6959907802
1.933333333,0.6042883464
1.966666667,0.4756724992
2.0,0.3177213526
2.033333333,0.1479674795
2.066666667,-0.05164976952
2.1,-0.2109211075
2.133333333,-0.3112578085
2.166666667,-0.38093901890000004
2.2,-0.48964594889999996
2.233333333,-0.5195093247
2.266666667,-0.40005582129999995
2.3,-0.3513396813
2.333333333,-0.1624690057
2.366666667,-0.08204122192999999
2.4,0.01776740255
2.433333333,0.08797668945
2.468333333,0.1479674795
2.501666667,0.1780948936
2.535,0.19615554289999998
2.568333333,0.12726644739999998
2.601666667,0.07749415428
2.635,0.04657462533
2.668333333,0.02666570809
2.701666667,-0.004517859141999999
2.735,-0.03438123501
2.768333333,-0.03385315846
2.801666667,-0.03358912019
2.835,-0.01262404986
2.868333333,-0.06266038124
2.901666667,-0.05164976952
2.935,-0.0519138078
